13-03-67;12:06;-40.120;-74.680;7.3;-;33;-
21-12-67;22:25;-21.80;-70.00;7.5;-;33;-
17-06-71;17:00;-25.402;-69.058;7.0;-;76;-
08-07-71;23:03;-32.511;-71.207;7.5;-;40;TM
18-08-74;06:44;-38.453;-73.431;7.1;-;36;-
10-05-75;10:27;-38.183;-73.232;7.7;-;6;-
29-11-76;21:40;-20.520;-68.919;7.3;-;82;-
03-08-78;14:11;-26.518;-70.664;7.0;-;49;-
16-10-81;00:25;-33.134;-73.074;7.5;-;33;-
04-10-83;14:52;-26.535;-70.563;7.3;-;14;-
03-03-85;19:46;-33.240;-71.850;7.8;8.0;33;T
08-04-85;21:56;-34.131;-71.618;7.5;-;37;-
05-03-87;06:17;-24.388;-70.161;7.3;-;62;T
08-08-87;11:48;-19.000;-70.000;7.1;-;42;-
30-07-95;01:11;-23.360;-70.310;7.3;8.0;47;T
14-10-97;22:03;-30.773;-71.315;-;7.1;56;-
13-06-05;18:44;-19.895;-69.125;7.8;7.8;108;-
14-11-07;12:40;-22.314;-70.078;7.5;7.7;47.7;-
27-02-10;03:34;-36.290;-73.239;-;8.8;30;TD
01-04-14;20:46;-19.572;-70.908;-;8.2;38.9;T
16-09-15;19:54;-31.553;-71.864;-;8.4;11.1;TD
25-12-16;11:22;-43.517;-74.391;-;7.6;30;T
01-09-20;00:09;-27.969;-71.241;-;7.0;31;-
